INSTANCE_NAME v_49_a84_r0_b4
NB_VERTICES 49
NB_ARCS 84
NB_BLOCKAGES 4


VERTICES
25 32 
44 45 
35 42 
8 9 
40 41 
31 38 
27 34 
41 42 
32 39 
18 19 
5 12 
9 10 
1 8 
15 16 
6 13 
47 48 
33 40 
38 39 
29 36 
48 49 
39 46 
16 17 
7 14 
12 13 
3 10 
22 23 
40 47 
13 14 
45 46 
36 43 
46 47 
4 11 
23 24 
14 21 
9 16 
19 20 
10 17 
24 25 
37 44 
42 49 
20 21 
38 45 
34 41 
11 18 
30 31 
25 26 
16 23 
26 27 
12 19 
31 32 
17 18 
8 15 
27 28 
41 48 
5 6 
18 25 
23 30 
1 2 
19 26 
15 22 
29 30 
2 3 
30 37 
3 4 
26 33 
21 28 
22 29 
17 24 
36 37 
13 20 
32 33 
4 5 
10 11 
37 38 
28 35 
6 7 
33 34 
24 31 
43 44 
20 27 
39 40 
34 35 
11 12 
2 9 


ARCS
25 32 1
44 45 1
35 42 1
8 9 1
40 41 1
31 38 1
27 34 1
41 42 1
32 39 1
18 19 1
5 12 1
9 10 1
1 8 1
15 16 1
6 13 1
47 48 1
33 40 1
38 39 1
29 36 1
48 49 1
39 46 1
16 17 1
7 14 1
12 13 1
3 10 1
22 23 1
40 47 1
13 14 1
45 46 1
36 43 1
46 47 1
4 11 1
23 24 1
14 21 1
9 16 1
19 20 1
10 17 1
24 25 1
37 44 1
42 49 1
20 21 1
38 45 1
34 41 1
11 18 1
30 31 1
25 26 1
16 23 1
26 27 1
12 19 1
31 32 1
17 18 1
8 15 1
27 28 1
41 48 1
5 6 1
18 25 1
23 30 1
1 2 1
19 26 1
15 22 1
29 30 1
2 3 1
30 37 1
3 4 1
26 33 1
21 28 1
22 29 1
17 24 1
36 37 1
13 20 1
32 33 1
4 5 1
10 11 1
37 38 1
28 35 1
6 7 1
33 34 1
24 31 1
43 44 1
20 27 1
39 40 1
34 35 1
11 12 1
2 9 1


REQUESTS

BLOCKAGES

16 15
46 45
46 39
36 43

END
