INSTANCE_NAME v_100_a180_r0_b4
NB_VERTICES 100
NB_ARCS 180
NB_BLOCKAGES 4


VERTICES
72 73 
7 17 
62 72 
67 68 
72 82 
44 45 
99 100 
67 77 
44 54 
3 13 
8 9 
8 18 
40 50 
36 46 
41 42 
96 97 
18 19 
73 74 
41 51 
18 28 
73 83 
14 15 
9 10 
14 24 
74 75 
9 19 
74 84 
10 20 
15 16 
47 48 
15 25 
42 43 
47 57 
42 52 
38 39 
48 49 
38 48 
48 58 
75 76 
80 90 
85 86 
75 85 
16 17 
71 72 
81 82 
16 26 
71 81 
81 91 
12 13 
22 23 
77 78 
12 22 
22 32 
77 87 
49 50 
49 59 
13 14 
45 46 
13 23 
55 56 
45 55 
55 65 
82 83 
82 92 
51 52 
46 47 
51 61 
23 24 
78 79 
46 56 
23 33 
78 88 
83 84 
19 20 
19 29 
24 25 
79 80 
56 57 
79 89 
56 66 
52 53 
20 30 
52 62 
57 58 
89 90 
89 99 
53 54 
53 63 
25 26 
30 40 
85 95 
25 35 
26 27 
21 22 
26 36 
31 32 
86 87 
21 31 
86 96 
17 18 
27 28 
17 27 
27 37 
54 55 
64 65 
54 64 
5 6 
50 60 
60 70 
87 88 
97 98 
87 97 
1 2 
1 11 
28 29 
93 94 
28 38 
83 93 
88 89 
88 98 
24 34 
29 30 
84 85 
61 62 
84 94 
61 71 
2 3 
2 12 
57 67 
62 63 
94 95 
3 4 
58 59 
35 36 
58 68 
35 45 
90 100 
95 96 
31 41 
36 37 
91 92 
68 69 
63 64 
68 78 
63 73 
32 33 
32 42 
4 5 
59 60 
64 74 
69 70 
4 14 
59 69 
69 79 
5 15 
65 66 
65 75 
37 38 
92 93 
37 47 
6 7 
6 16 
33 34 
43 44 
98 99 
33 43 
43 53 
70 80 
39 40 
29 39 
34 35 
39 49 
11 12 
66 67 
34 44 
76 77 
11 21 
66 76 
76 86 
7 8 


ARCS
72 73 1
7 17 1
62 72 1
67 68 1
72 82 1
44 45 1
99 100 1
67 77 1
44 54 1
3 13 1
8 9 1
8 18 1
40 50 1
36 46 1
41 42 1
96 97 1
18 19 1
73 74 1
41 51 1
18 28 1
73 83 1
14 15 1
9 10 1
14 24 1
74 75 1
9 19 1
74 84 1
10 20 1
15 16 1
47 48 1
15 25 1
42 43 1
47 57 1
42 52 1
38 39 1
48 49 1
38 48 1
48 58 1
75 76 1
80 90 1
85 86 1
75 85 1
16 17 1
71 72 1
81 82 1
16 26 1
71 81 1
81 91 1
12 13 1
22 23 1
77 78 1
12 22 1
22 32 1
77 87 1
49 50 1
49 59 1
13 14 1
45 46 1
13 23 1
55 56 1
45 55 1
55 65 1
82 83 1
82 92 1
51 52 1
46 47 1
51 61 1
23 24 1
78 79 1
46 56 1
23 33 1
78 88 1
83 84 1
19 20 1
19 29 1
24 25 1
79 80 1
56 57 1
79 89 1
56 66 1
52 53 1
20 30 1
52 62 1
57 58 1
89 90 1
89 99 1
53 54 1
53 63 1
25 26 1
30 40 1
85 95 1
25 35 1
26 27 1
21 22 1
26 36 1
31 32 1
86 87 1
21 31 1
86 96 1
17 18 1
27 28 1
17 27 1
27 37 1
54 55 1
64 65 1
54 64 1
5 6 1
50 60 1
60 70 1
87 88 1
97 98 1
87 97 1
1 2 1
1 11 1
28 29 1
93 94 1
28 38 1
83 93 1
88 89 1
88 98 1
24 34 1
29 30 1
84 85 1
61 62 1
84 94 1
61 71 1
2 3 1
2 12 1
57 67 1
62 63 1
94 95 1
3 4 1
58 59 1
35 36 1
58 68 1
35 45 1
90 100 1
95 96 1
31 41 1
36 37 1
91 92 1
68 69 1
63 64 1
68 78 1
63 73 1
32 33 1
32 42 1
4 5 1
59 60 1
64 74 1
69 70 1
4 14 1
59 69 1
69 79 1
5 15 1
65 66 1
65 75 1
37 38 1
92 93 1
37 47 1
6 7 1
6 16 1
33 34 1
43 44 1
98 99 1
33 43 1
43 53 1
70 80 1
39 40 1
29 39 1
34 35 1
39 49 1
11 12 1
66 67 1
34 44 1
76 77 1
11 21 1
66 76 1
76 86 1
7 8 1


REQUESTS

BLOCKAGES

68 58
15 16
18 19
56 66

END
